   44   48     0     0  con    0  1.0D+00  3.7D-04  3.152D-03  3.416D+02
   45   49     0     0  con    0  1.0D+00  3.7D-04  1.014D-03  3.416D+02

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.865E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.510D+00  2.510D+02
    1    2     1     0  ---    0  2.9D-02  1.0D+00  6.240D-01  2.459D+02
    2    3     0     0  con    0  1.0D+00  3.3D-01  7.865D-01  2.414D+02
    3    5     0     0  con    1  2.4D-01  8.2D-02  6.228D-01  2.409D+02
    4    6     0     0  con    0  1.0D+00  1.1D-01  3.839D-01  2.406D+02
    5    7     0     0  con    0  1.0D+00  4.7D-02  4.750D-01  2.404D+02
    6    8     0     0  con    0  1.0D+00  1.8D-01  3.387D-01  2.401D+02
    7   10     0     0  con    1  3.9D-01  4.3D-02  5.445D-01  2.400D+02
    8   11     0     0  con    0  1.0D+00  2.9D-02  4.153D-01  2.400D+02
    9   12     0     0  con    0  1.0D+00  3.2D-02  2.460D-01  2.400D+02
   10   13     0     0  con    0  1.0D+00  2.6D-02  1.673D-01  2.399D+02
   11   14     0     0  con    0  1.0D+00  3.9D-02  3.148D-01  2.399D+02
   12   15     0     0  con    0  1.0D+00  1.0D-02  1.360D-01  2.399D+02
   13   16     0     0  con    0  1.0D+00  5.3D-03  1.618D-01  2.399D+02
   14   17     0     0  con    0  1.0D+00  1.2D-02  1.597D-01  2.399D+02
   15   19     0     0  con    1  5.0D-01  1.1D-02  1.958D-01  2.399D+02
   16   20     0     0  con    0  1.0D+00  1.2D-02  1.321D-01  2.399D+02
   17   21     0     0  con    0  1.0D+00  9.5D-03  9.332D-02  2.399D+02
   18   22     0     0  con    0  1.0D+00  8.4D-03  7.656D-02  2.399D+02
   19   23     0     0  con    0  1.0D+00  1.0D-02  5.892D-02  2.399D+02
   20   24     0     0  con    0  1.0D+00  5.9D-03  5.843D-02  2.399D+02
   21   25     0     0  con    0  1.0D+00  5.9D-03  5.136D-02  2.399D+02
   22   26     0     0  con    0  1.0D+00  4.4D-03  4.354D-02  2.399D+02
   23   27     0     0  con    0  1.0D+00  8.4D-03  3.417D-02  2.399D+02
   24   28     0     0  con    0  1.0D+00  5.6D-03  2.299D-02  2.399D+02
   25   29     0     0  con    0  1.0D+00  1.4D-03  1.699D-02  2.399D+02
   26   30     0     0  con    0  1.0D+00  1.2D-03  1.785D-02  2.399D+02
   27   31     0     0  con    0  1.0D+00  2.4D-03  1.538D-02  2.399D+02
   28   33     0     0  con    1  4.9D-01  1.8D-03  1.184D-02  2.399D+02
   29   34     0     0  con    0  1.0D+00  2.2D-03  1.141D-02  2.399D+02
   30   35     0     0  con    0  1.0D+00  8.3D-04  5.842D-03  2.399D+02
   31   36     0     0  con    0  1.0D+00  8.7D-04  7.422D-03  2.399D+02
   32   37     0     0  con    0  1.0D+00  8.0D-04  5.707D-03  2.399D+02
   33   38     0     0  con    0  1.0D+00  9.3D-04  4.088D-03  2.399D+02
   34   39     0     0  con    0  1.0D+00  2.2D-04  5.880D-03  2.399D+02
   35   40     0     0  con    0  1.0D+00  1.3D-04  5.723D-03  2.399D+02
   36   41     0     0  con    0  1.0D+00  5.1D-04  3.505D-03  2.399D+02
   37   43     0     0  con    1  5.1D-01  3.0D-04  4.417D-03  2.399D+02
   38   44     0     0  con    0  1.0D+00  1.8D-    1    2     1     0  ---    0  4.8D-02  1.0D+00  4.346D-01  1.648D+02
    2    3     0     0  con    0  1.0D+00  3.0D-01  7.591D-01  1.625D+02
    3    5     0     0  c   41   47     0     0  con    0  1.0D+00  2.4D-04  1.573D-03  2.399D+02
   42   48     0     0  con    0  1.0D+00  2.0D-04  1.421D-03  2.399D+02
   43   49     0     0  con    0  1.0D+00  2.1D-04  2.247D-03  2.399D+02

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.864E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     9.641D-01  1.756D+02
    1    2     1     0  ---    0  4.7D-02  1.0D+00  5.920D-01  1.710D+02
    2    3     0     0  con    0  1.0D+00  2.9D-01  5.098D-01  1.688D+02
    3    5     0     0  con    1  2.6D-01  9.8D-02  6.332D-01  1.684D+02
    4    6     0     0  con    0  1.0D+00  1.2D-01  3.370D-01  1.682D+02
    5    7     0     0  con    0  1.0D+00  6.3D-02  3.443D-01  1.681D+02
    6    8     0     0  con    0  1.0D+00  2.1D-01  1.934D-01  1.678D+02
    7   10     0     0  con    1  4.6D-01  4.1D-02  3.087D-01  1.678D+02
    8   11     0     0  con    0  1.0D+00  2.5D-02  2.925D-01  1.678D+02
    9   12     0     0  con    0  1.0D+00  5.7D-02  1.130D-01  1.677D+02
   10   13     0     0  con    0  1.0D+00  3.3D-02  2.581D-01  1.677D+02
   11   14     0     0  con    0  1.0D+00  6.9D-03  1.314D-01  1.677D+02
   12   15     0     0  con    0  1.0D+00  9.8D-03  8.833D-02  1.677D+02
   13   16     0     0  con    0  1.0D+00  1.3D-02  8.007D-02  1.677D+02
   14   17     0     0  con    0  1.0D+00  2.4D-02  6.818D-02  1.677D+02
   15   19     0     0  con    1  2.7D-01  1.0D-02  1.018D-01  1.677D+02
   16   20     0     0  con    0  1.0D+00  1.3D-02  6.684D-02  1.677D+02
   17   21     0     0  con    0  1.0D+00  6.2D-03  5.632D-02  1.677D+02
   18   22     0     0  con    0  1.0D+00  1.0D-02  5.750D-02  1.677D+02
   19   23     0     0  con    0  1.0D+00  9.2D-03  5.628D-02  1.677D+02
   20   24     0     0  con    0  1.0D+00  2.9D-03  4.561D-02  1.677D+02
   21   25     0     0  con    0  1.0D+00  5.6D-03  2.896D-02  1.677D+02
   22   26     0     0  con    0  1.0D+00  3.9D-03  2.577D-02  1.677D+02
   23   27     0     0  con    0  1.0D+00  1.2D-02  2.436D-02  1.677D+02
   24   28     0     0  con    0  1.0D+00  2.2D-03  1.081D-02  1.677D+02
   25   29     0     0  con    0  1.0D+00  1.3D-03  1.546D-02  1.677D+02
   26   30     0     0  con    0  1.0D+00  2.9D-03  8.437D-03  1.677D+02
   27   31     0     0  con    0  1.0D+00  4.3D-03  2.373D-02  1.677D+02
   28   32     0     0  con    0  1.0D+00  7.1D-04  1.344D-02  1.677D+02
   29   33     0     0  con    0  1.0D+00  1.2D-03  7.633D-03  1.677D+02
   30   34     0     0  con    0  1.0D+00  1.2D-03  5.578D-03  1.677D+02
   31   35     0     0  con    0  1.0D+00  2.0D-03  2.959D-03  1.677D+02
   32   37     0     0  con    1  2.3D-01  6.6D-04  4.924D-03  1.677D+02
   33   38     0     0  con    0  1.0D+00  8.6D-04  5.013D-03  1.677D+02
   34   39     0     0  con    0  1.0D+00  4.1D-04  4.790D-03  1.677D+02
   35   40     0     0  con    0  1.0D+00  8.5D-04  4.489D-03  1.677D+02
   36   41     0     0  con    0  1.0D+00  6.2D-04  2.175D-03  1.677D+02
   37   42     0     0  con    0  1.0D+00  2.1D-04  2.403D-03  1.677D+02
   38   43     0     0  con    0  1.0D+00  1.3D-04  2.197D-03  1.677D+02
   39   44     0     0  con    0  1.0D+00  2.7D-04  1.799D-03  1.677D+02
   40   45     0     0  con    0  1.0D+00  4.4D-    1    2     1     0  ---    0  7.6D-02  1.0D+00  3.874D-01  1.142D+02
    2    3     0     0  con    0  1.0D+00  2.7D-01  4.671D-01  1.130D+02
    3    5     0     0  c
CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.746E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     6.606D-01  1.220D+02
    1    2     1     0  ---    0  7.4D-02  1.0D+00  5.303D-01  1.183D+02
    2    3     0     0  con    0  1.0D+00  2.6D-01  3.607D-01  1.171D+02
    3    5     0     0  con    1  3.5D-01  1.4D-01  4.801D-01  1.168D+02
    4    6     0     0  con    0  1.0D+00  1.2D-01  2.733D-01  1.166D+02
    5    7     0     0  con    0  1.0D+00  1.0D-01  2.214D-01  1.165D+02
    6    8     0     0  con    0  1.0D+00  2.1D-01  2.851D-01  1.164D+02
    7    9     0     0  con    0  1.0D+00  4.2D-02  2.100D-01  1.164D+02
    8   10     0     0  con    0  1.0D+00  2.8D-02  1.623D-01  1.164D+02
    9   11     0     0  con    0  1.0D+00  5.1D-02  1.115D-01  1.163D+02
   10   12     0     0  con    0  1.0D+00  4.3D-02  1.115D-01  1.163D+02
   11   13     0     0  con    0  1.0D+00  5.0D-02  4.904D-02  1.163D+02
   12   14     0     0  con    0  1.0D+00  1.3D-02  4.829D-02  1.163D+02
   13   15     0     0  con    0  1.0D+00  2.0D-02  4.487D-02  1.163D+02
   14   16     0     0  con    0  1.0D+00  1.8D-02  6.977D-02  1.163D+02
   15   17     0     0  con    0  1.0D+00  1.2D-02  3.841D-02  1.163D+02
   16   18     0     0  con    0  1.0D+00  1.3D-02  2.465D-02  1.163D+02
   17   19     0     0  con    0  1.0D+00  8.9D-03  3.364D-02  1.163D+02
   18   20     0     0  con    0  1.0D+00  4.1D-03  3.221D-02  1.163D+02
   19   21     0     0  con    0  1.0D+00  1.1D-02  2.609D-02  1.163D+02
   20   22     0     0  con    0  1.0D+00  5.5D-03  2.331D-02  1.163D+02
   21   23     0     0  con    0  1.0D+00  1.1D-02  1.592D-02  1.163D+02
   22   24     0     0  con    0  1.0D+00  2.2D-03  1.266D-02  1.163D+02
   23   25     0     0  con    0  1.0D+00  1.9D-03  1.263D-02  1.163D+02
   24   26     0     0  con    0  1.0D+00  4.3D-03  1.691D-02  1.163D+02
   25   27     0     0  con    0  1.0D+00  5.0D-03  8.454D-03  1.163D+02
   26   28     0     0  con    0  1.0D+00  9.8D-04  5.302D-03  1.163D+02
   27   29     0     0  con    0  1.0D+00  1.6D-03  6.748D-03  1.163D+02
   28   30     0     0  con    0  1.0D+00  2.0D-03  6.820D-03  1.163D+02
   29   31     0     0  con    0  1.0D+00  3.0D-03  4.749D-03  1.163D+02
   30   32     0     0  con    0  1.0D+00  2.7D-03  5.268D-03  1.163D+02
   31   33     0     0  con    0  1.0D+00  1.2D-03  4.143D-03  1.163D+02
   32   34     0     0  con    0  1.0D+00  2.9D-04  3.781D-03  1.163D+02
   33   35     0     0  con    0  1.0D+00  9.2D-04  2.882D-03  1.163D+02
   34   36     0     0  con    0  1.0D+00  9.8D-04  1.769D-03  1.163D+02
   35   37     0     0  con    0  1.0D+00  1.3D-03  1.688D-03  1.163D+02
   36   38     0     0  con    0  1.0D+00  3.3D-04  1.644D-03  1.163D+02
   37   39     0     0  con    0  1.0D+00  1.3D-04  1.407D-03  1.163D+02
   38   40     0     0  con    0  1.0D+00  4.0D-04  1.524D-03  1.163D+02
   39   42     0     0  con    1  5.1D-01  2.5D-04  4.840D-04  1.163D+02
   40   43     0     0  con    0  1.0D+00  1.9D-04  6.644D-04  1.163D+02
   41   44     0     0  con    0  1.0D+00  2.6D-04  7.713D-04  1.163D+02
   42   45     0     0  con    0  1.0D+00  2.0D-04  9.096D-04  1.163D+02

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH    4    6     0     0  con    0  1.0D+00  1.5D-01  1.937D-01  7.737D+01
    5    7     0     0  con    0  1.0D+00  1.1D-01  1.630D-01  7.730D+nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     5.505D-01  8.379D+01
    1    2     1     0  ---    0  1.2D-01  1.0D+00  4.532D-01  8.094D+01
    2    3     0     0  con    0  1.0D+00  2.6D-01  3.053D-01  8.034D+01
    3    5     0     0  con    1  4.6D-01  1.7D-01  2.429D-01  8.007D+01
    4    6     0     0  con    0  1.0D+00  1.5D-01  1.969D-01  7.998D+01
    5    7     0     0  con    0  1.0D+00  1.5D-01  1.384D-01  7.991D+01
    6    8     0     0  con    0  1.0D+00  8.4D-02  1.107D-01  7.986D+01
    7    9     0     0  con    0  1.0D+00  5.7D-02  9.538D-02  7.984D+01
    8   10     0     0  con    0  1.0D+00  5.9D-02  8.046D-02  7.982D+01
    9   11     0     0  con    0  1.0D+00  5.2D-02  6.215D-02  7.980D+01
   10   12     0     0  con    0  1.0D+00  3.8D-02  4.910D-02  7.980D+01
   11   13     0     0  con    0  1.0D+00  1.9D-02  3.967D-02  7.979D+01
   12   14     0     0  con    0  1.0D+00  3.3D-02  2.542D-02  7.979D+01
   13   15     0     0  con    0  1.0D+00  2.1D-02  2.943D-02  7.979D+01
   14   16     0     0  con    0  1.0D+00  5.7D-03  1.739D-02  7.979D+01
   15   17     0     0  con    0  1.0D+00  1.2D-02  1.528D-02  7.979D+01
   16   18     0     0  con    0  1.0D+00  1.1D-02  1.667D-02  7.978D+01
   17   20     0     0  con    1  3.6D-01  9.0D-03  2.671D-02  7.978D+01
   18   21     0     0  con    0  1.0D+00  9.1D-03  1.604D-02  7.978D+01
   19   22     0     0  con    0  1.0D+00  4.7D-03  1.284D-02  7.978D+01
   20   23     0     0  con    0  1.0D+00  7.4D-03  1.245D-02  7.978D+01
   21   25     0     0  con    1  4.4D-01  4.3D-03  9.540D-03  7.978D+01
   22   26     0     0  con    0  1.0D+00  3.2D-03  7.276D-03  7.978D+01
   23   27     0     0  con    0  1.0D+00  3.8D-03  9.925D-03  7.978D+01
   24   28     0     0  con    0  1.0D+00  4.5D-03  5.009D-03  7.978D+01
   25   29     0     0  con    0  1.0D+00  2.1D-03  4.266D-03  7.978D+01
   26   30     0     0  con    0  1.0D+00  2.9D-03  4.586D-03  7.978D+01
   27   31     0     0  con    0  1.0D+00  1.8D-03  4.308D-03  7.978D+01
   28   32     0     0  con    0  1.0D+00  4.9D-03  6.040D-03  7.978D+01
   29   33     0     0  con    0  1.0D+00  9.1D-04  3.180D-03  7.978D+01
   30   34     0     0  con    0  1.0D+00  4.9D-04  2.962D-03  7.978D+01
   31   35     0     0  con    0  1.0D+00  1.1D-03  2.056D-03  7.978D+01
   32   36     0     0  con    0  1.0D+00  1.5D-03  1.894D-03  7.978D+01
   33   37     0     0  con    0  1.0D+00  4.1D-04  1.612D-03  7.978D+01
   34   38     0     0  con    0  1.0D+00  6.7D-04  1.113D-03  7.978D+01
   35   39     0     0  con    0  1.0D+00  4.7D-04  9.957D-04  7.978D+01
   36   41     0     0  con    1  4.5D-01  5.2D-04  6.306D-04  7.978D+01
   37   42     0     0  con    0  1.0D+00  4.2D-04  5.177D-04  7.978D+01
   38   43     0     0  con    0  1.0D+00  1.4D-04  5.153D-04  7.978D+01
   39   44     0     0  con    0  1.0D+00  3.8D-04  7.549D-04  7.978D+01
   40   45     0     0  con    0  1.0D+00  3.9D-04  4.981D-04  7.978D+01

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.641E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bo   10   11     0     0  con    0  1.0D+00  1.5D-02  5.125D-02  5.237D+01
   11   12     0     0  con    0  1.0D+00  2.7D-02  4.209D-02  5.236D+01projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.365D-01  5.671D+01
    1    2     1     0  ---    0  1.9D-01  1.0D+00  3.643D-01  5.465D+01
    2    3     0     0  con    0  1.0D+00  2.7D-01  2.261D-01  5.433D+01
    3    4     0     0  con    0  1.0D+00  3.1D-01  1.562D-01  5.413D+01
    4    5     0     0  con    0  1.0D+00  6.7D-02  1.333D-01  5.408D+01
    5    6     0     0  con    0  1.0D+00  4.2D-02  1.256D-01  5.406D+01
    6    7     0     0  con    0  1.0D+00  1.4D-01  8.563D-02  5.402D+01
    7    9     0     0  con    1  4.2D-01  5.3D-02  7.357D-02  5.401D+01
    8   10     0     0  con    0  1.0D+00  4.3D-02  6.500D-02  5.400D+01
    9   11     0     0  con    0  1.0D+00  5.2D-02  5.118D-02  5.399D+01
   10   12     0     0  con    0  1.0D+00  4.7D-02  3.563D-02  5.399D+01
   11   13     0     0  con    0  1.0D+00  1.5D-02  3.060D-02  5.399D+01
   12   14     0     0  con    0  1.0D+00  1.7D-02  2.483D-02  5.398D+01
   13   15     0     0  con    0  1.0D+00  1.8D-02  1.792D-02  5.398D+01
   14   17     0     0  con    1  5.0D-01  1.7D-02  2.557D-02  5.398D+01
   15   18     0     0  con    0  1.0D+00  1.9D-02  1.170D-02  5.398D+01
   16   19     0     0  con    0  1.0D+00  7.0D-03  1.009D-02  5.398D+01
   17   20     0     0  con    0  1.0D+00  1.2D-02  6.325D-03  5.398D+01
   18   22     0     0  con    1  5.1D-01  5.8D-03  8.445D-03  5.398D+01
   19   23     0     0  con    0  1.0D+00  2.7D-03  6.826D-03  5.398D+01
   20   24     0     0  con    0  1.0D+00  6.6D-03  5.152D-03  5.398D+01
   21   25     0     0  con    0  1.0D+00  6.2D-03  6.450D-03  5.398D+01
   22   26     0     0  con    0  1.0D+00  1.3D-03  3.305D-03  5.398D+01
   23   27     0     0  con    0  1.0D+00  1.6D-03  3.362D-03  5.398D+01
   24   28     0     0  con    0  1.0D+00  3.1D-03  2.852D-03  5.398D+01
   25   29     0     0  con    0  1.0D+00  4.6D-03  4.533D-03  5.398D+01
   26   30     0     0  con    0  1.0D+00  5.8D-03  2.808D-03  5.398D+01
   27   31     0     0  con    0  1.0D+00  2.0D-03  2.617D-03  5.398D+01
   28   32     0     0  con    0  1.0D+00  5.7D-04  2.470D-03  5.398D+01
   29   33     0     0  con    0  1.0D+00  1.8D-03  2.457D-03  5.398D+01
   30   34     0     0  con    0  1.0D+00  2.6D-03  1.779D-03  5.398D+01
   31   35     0     0  con    0  1.0D+00  6.1D-04  1.558D-03  5.398D+01
   32   36     0     0  con    0  1.0D+00  4.9D-04  1.110D-03  5.398D+01
   33   37     0     0  con    0  1.0D+00  8.8D-04  8.441D-04  5.398D+01
   34   38     0     0  con    0  1.0D+00  9.7D-04  5.676D-04  5.398D+01
   35   39     0     0  con    0  1.0D+00  8.5D-04  3.032D-04  5.398D+01
   36   40     0     0  con    0  1.0D+00  2.6D-04  2.736D-04  5.398D+01
   37   41     0     0  con    0  1.0D+00  2.9D-04  4.399D-04  5.398D+01
   38   42     0     0  con    0  1.0D+00  3.2D-04  3.151D-04  5.398D+01
   39   43     0     0  con    0  1.0D+00  3.4D-04  3.036D-04  5.398D+01
   40   44     0     0  con    0  1.0D+00  1.9D-04  2.399D-04  5.398D+01

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.554E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   15   17     0     0  con    0  1.0D+00  1.3D-02  3.976D-03  3.500D+01
   16   18     0     0  con    0  1.0D+00  5.5D-03  3.732D-03  3.500D+01
   17   19     0     0  con    0  1.0D+00  1.2D-02  3.938D-03  3.500D+01
   18   20     0     0  con    0  1.0D+00  8.1D-03  4.159D-03  3.500D+01
   19   21     0     0  con    0  1.0D+00  2.7D-03  3.306D-03  3.500D+01
   20   22     0     0  con    0  1.0D+00  1.7D-03  2.841D-03  3.500D+01
   21   23     0     0  con    0  1.0D+00  3.7D-03  2.388D-03  3.500D+01
   22   24     0     0  con    0  1.0D+00  5.9D-03  2.492D-03  3.500D+01
   23   25     0     0  con    0  1.0D+00  1.4D-03  2.431D-03  3.500D+01
   24   26     0     0  con    0  1.0D+00  1.4D-03  2.330D-03  3.500D+01
   25   27     0     0  con    0  1.0D+00  2.3D-03  2.016D-03  3.500D+01
   26   28     0     0  con    0  1.0D+00  4.0D-03  1.340D-03  3.500D+01
   27   29     0     0  con    0  1.0D+00  3.7D-03  1.320D-03  3.500D+01
   28   30     0     0  con    0  1.0D+00  8.6D-04  1.048D-03  3.500D+01
   29   31     0     0  con    0  1.0D+00  9.0D-04  7.088D-04  3.500D+01
   30   32     0     0  con    0  1.0D+00  1.6D-03  6.499D-04  3.500D+01
   31   33     0     0  con    0  1.0D+00  1.7D-03  2.769D-04  3.500D+01
   32   34     0     0  con    0  1.0D+00  5.1D-04  2.698D-04  3.500D+01
   33   35     0     0  con    0  1.0D+00  5.7D-04  4.186D-04  3.500D+01
   34   36     0     0  con    0  1.0D+00  5.2D-04  2.935D-04  3.500D+01
   35   37     0     0  con    0  1.0D+00  5.0D-04  2.083D-04  3.500D+01
   36   38     0     0  con    0  1.0D+00  2.4D-04  2.324D-04  3.500D+01
   37   39     0     0  con    0  1.0D+00  2.1D-04  1.764D-04  3.500D+01
   38   40     0     0  con    0  1.0D+00  3.8D-04  1.279D-04  3.500D+01
   39   41     0     0  con    0  1.0D+00  3.3D-04  1.396D-04  3.500D+01

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.428E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.412D-01  2.419D+01
    1    2     1     0  ---    0  5.0D-01  1.0D+00  1.971D-01  2.327D+01
    2    3     0     0  con    0  1.0D+00  3.3D-01  1.025D-01  2.317D+01
    3    4     0     0  con    0  1.0D+00  2.4D-01  5.332D-02  2.311D+01
    4    5     0     0  con    0  1.0D+00  3.9D-02  4.811D-02  2.310D+01
    5    6     0     0  con    0  1.0D+00  2.3D-02  4.456D-02  2.310D+01
    6    7     0     0  con    0  1.0D+00  1.2D-01  2.611D-02  2.308D+01
    7    9     0     0  con    1  4.5D-01  3.9D-02  2.186D-02  2.308D+01
    8   10     0     0  con    0  1.0D+00  2.6D-02  1.870D-02  2.308D+01
    9   11     0     0  con    0  1.0D+00  3.7D-02  1.231D-02  2.308D+01
   10   12     0     0  con    0  1.0D+00  2.7D-02  7.625D-03  2.308D+01
   11   13     0     0  con    0  1.0D+00  3.9D-02  1.222D-02  2.308D+01
   12   14     0     0  con    0  1.0D+00  9.8D-03  3.881D-03  2.308D+01
   13   15     0     0  con    0  1.0D+00  5.3D-03  3.192D-03  2.308D+01
   14   16     0     0  con    0  1.0D+00  1.2D-02  2.732D-03  2.308D+01
   15   17     0     0  con    0  1.0D+00  1.7D-02  4.590D-03  2.308D+01
   16   18     0     0  con    0  1.0D+00  7.1D-03  2.377D-03  2.308D+01
   17   19     0     0  con    0  1.0D+00  3.1D-03  2.040D-03  2.308D+01
   18   20     0     0  con    0  1.0D+00  5.1D-03  1.828D-03  2.308D+01
   19   22     0     0  con    1  5.0D-01  4.0D-03  1.945D-03  2.308D+01
   20   23     0     0  con    0  1.0D+00  3.7D-03  1.537D-03  2.308D+01
   21   24     0     0  con    0  1.0D+00  3.6D-03  1.319D-03  2.308D+01
   22   25     0     0  con    0  1.0D+00  3.1D-03  1.245D-03  2.308D+01
   23   26     0     0  con    0  1.0D+00  3.7D-03  9.341D-04  2.308D+01
   24   27     0     0  con    0  1.0D+00  2.6D-03  8.199D-04  2.308D+01
   25   28     0     0  con    0  1.0D+00  4.0D-03  9.738D-04  2.308D+01
   26   29     0     0  con    0  1.0D+00  3.1D-03  7.815D-04  2.308D+01
   27   30     0     0  con    0  1.0D+00  6.8D-04  5.108D-04  2.308D+01
   28   31     0     0  con    0  1.0D+00  8.9D-04  5.137D-04  2.308D+01
   29   32     0     0  con    0  1.0D+00  1.3D-03  4.718D-04  2.308D+01
   30   33     0     0  con    0  1.0D+00  2.0D-03  4.449D-04  2.308D+01
   31   35     0     0  con    1  4.1D-01  1.0D-03  2.004D-04  2.308D+01
   32   36     0     0  con    0  1.0D+00  4.4D-04  1.556D-04  2.308D+01
   33   37     0     0  con    0  1.0D+00  4.4D-04  1.237D-04  2.308D+01
   34   38     0     0  con    0  1.0D+00  5.6D-04  2.219D-04  2.308D+01
   35   39     0     0  con    0  1.0D+00  2.7D-04  9.851D-05  2.308D+01

CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL            

 Total User time 2.296E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.740D-01  1.571D+01
    1    2     1     0  ---    0  8.2D-01  1.0D+00  1.312D-01  1.512D+01
    2    3     0     0  con    0  1.0D+00  3.4D-01  4.600D-02  1.507D+01
    3    4     0     0  con    0  1.0D+00  1.7D-01  2.314D-02  1.504D+01
    4    5     0     0  con    0  1.0D+00  3.6D-02  2.070D-02  1.503D+01
    5    6     0     0  con    0  1.0D+00  4.1D-02  2.249D-02  1.503D+01
    6    7     0     0  con    0  1.0D+00  5.7D-02  1.815D-02  1.503D+01
